program,workstream,tool_id,capex_category,vendor,fiscal_month,planned_spend_usd,actual_spend_usd,forecast_spend_usd,po_date,install_date_planned,install_date_actual,status
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-01,284022.0,305529.29,293700.28,2024-01-16,2024-04-14,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-01,234948.0,213796.2,225429.69,2024-01-08,2024-05-11,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-01,154938.0,139709.85,148085.33,2024-01-21,2024-02-24,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-02,145701.0,158285.75,151364.14,2024-02-18,2024-04-08,2024-04-16,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-02,156318.0,112914.45,136786.4,2024-02-21,2024-06-15,2024-06-17,Installed
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2024-02,296798.0,284834.22,291414.3,2024-02-22,2024-05-25,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-03,138980.0,134966.03,137173.71,2024-03-01,2024-07-15,2024-07-23,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-03,138005.0,95462.44,118860.85,2024-03-13,2024-05-17,,Planned
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-03,81779.0,65952.15,74656.92,2024-03-25,2024-07-06,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-04,219083.0,219834.59,219421.22,2024-04-10,2024-07-13,,Planned
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2024-04,250713.0,247563.09,249295.54,2024-04-25,2024-08-28,2024-09-28,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-04,255673.0,328407.45,288403.5,2024-04-12,2024-05-12,2024-06-02,Delayed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-05,157253.0,220481.54,185705.85,2024-05-17,2024-08-16,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-05,201445.0,226229.01,212597.81,2024-05-10,2024-06-26,2024-06-18,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-05,176861.0,228495.64,200096.59,2024-05-25,2024-08-05,2024-08-20,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-06,287461.0,225493.91,259575.81,2024-06-04,2024-08-05,2024-08-01,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-06,127770.0,96917.34,113886.3,2024-06-25,2024-07-15,,Planned
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-06,204811.0,129325.91,170842.71,2024-06-03,2024-09-10,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-07,255228.0,290156.03,270945.61,2024-07-22,2024-10-22,2024-11-21,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-07,173225.0,161314.64,167865.34,2024-07-05,2024-08-23,,Planned
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2024-07,170174.0,168094.17,169238.08,2024-07-25,2024-10-29,2024-10-17,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-08,119123.0,145040.68,130785.96,2024-08-18,2024-09-11,2024-09-24,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-08,145641.0,174372.84,158570.33,2024-08-12,2024-11-30,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-08,218915.0,234613.19,225979.18,2024-08-10,2024-12-16,2024-12-07,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-09,221086.0,229535.26,224888.17,2024-09-11,2024-11-22,,Planned
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2024-09,263114.0,237508.19,251591.39,2024-09-07,2024-12-18,2025-01-17,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-09,160538.0,181540.16,169988.97,2024-09-25,2024-11-02,2024-11-02,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-10,11501.0,9602.82,10646.82,2024-10-17,2024-11-22,2024-12-19,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-10,246424.0,252541.45,249176.85,2024-10-13,2025-02-05,2025-01-25,Installed
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2024-10,220496.0,235981.74,227464.58,2024-10-23,2024-12-25,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2024-11,124489.0,140806.79,131832.01,2024-11-09,2025-03-12,,Planned
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-11,176266.0,181721.82,178721.12,2024-11-03,2025-03-17,2025-03-12,Installed
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2024-11,294314.0,284358.36,289833.96,2024-11-23,2025-03-30,2025-04-12,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2024-12,178389.0,178766.59,178558.92,2024-12-10,2025-02-17,2025-02-06,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2024-12,29927.0,29516.12,29742.1,2024-12-14,2025-04-27,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2024-12,238080.0,228483.11,233761.4,2024-12-21,2025-02-16,2025-03-08,Delayed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-01,96477.0,93159.31,94984.04,2025-01-09,2025-04-26,,Planned
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-01,68844.0,86385.49,76737.67,2025-01-08,2025-05-17,2025-05-31,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-01,42597.0,51894.91,46781.06,2025-01-05,2025-04-06,2025-04-09,Delayed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2025-02,98931.0,110244.71,104022.17,2025-02-06,2025-05-12,2025-05-01,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-02,63327.0,59110.67,61429.65,2025-02-01,2025-05-23,2025-06-21,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-02,221696.0,207948.88,215509.8,2025-02-18,2025-06-14,2025-07-13,Delayed
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-03,161758.0,177236.82,168723.47,2025-03-05,2025-03-28,,Planned
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2025-03,85097.0,99563.93,91607.12,2025-03-07,2025-07-18,2025-07-12,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-03,98699.0,112431.59,104878.67,2025-03-15,2025-04-17,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-04,206583.0,223201.55,214061.35,2025-04-15,2025-08-25,2025-09-11,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2025-04,245360.0,296136.39,268209.38,2025-04-06,2025-05-18,2025-05-21,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-04,21509.0,26978.12,23970.1,2025-04-23,2025-08-23,,Planned
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2025-05,177814.0,197603.67,186719.35,2025-05-09,2025-06-16,2025-06-06,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-05,97759.0,73159.16,86689.07,2025-05-08,2025-07-19,,Planned
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2025-05,241166.0,236227.02,238943.46,2025-05-19,2025-09-21,,Planned
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-06,179656.0,177919.58,178874.61,2025-06-15,2025-08-05,,Planned
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2025-06,186706.0,199713.88,192559.54,2025-06-02,2025-09-05,2025-09-24,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-06,243018.0,216799.5,231219.67,2025-06-08,2025-10-10,2025-10-01,Installed
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-07,56838.0,59569.22,58067.05,2025-07-17,2025-08-31,2025-09-16,Installed
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2025-07,283993.0,286386.68,285070.16,2025-07-23,2025-10-05,2025-10-19,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-07,39318.0,40068.11,39655.55,2025-07-05,2025-10-12,2025-10-23,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-08,119287.0,111729.01,115885.91,2025-08-08,2025-09-22,,Planned
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2025-08,70579.0,67318.8,69111.91,2025-08-09,2025-11-08,2025-10-28,Installed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2025-08,264122.0,298416.92,279554.71,2025-08-08,2025-09-20,,Planned
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-09,231322.0,232398.53,231806.44,2025-09-22,2025-10-27,,Planned
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-09,224073.0,231147.09,227256.34,2025-09-23,2026-01-22,2026-01-22,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2025-09,257971.0,227761.28,244376.63,2025-09-05,2025-10-16,2025-11-14,Installed
Phoenix-ETD,Facilities,T-PH-01,Facilities,VendorC,2025-10,141463.0,162297.42,150838.49,2025-10-03,2025-10-31,2025-11-23,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2025-10,106695.0,110273.27,108305.22,2025-10-10,2025-11-26,2025-12-06,Installed
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2025-10,91296.0,90679.17,91018.43,2025-10-07,2025-11-21,2025-12-13,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-11,267682.0,257279.39,263000.83,2025-11-05,2026-01-18,2026-02-04,Delayed
Phoenix-ETD,Facilities,T-PH-01,Tooling,VendorC,2025-11,194429.0,212060.33,202363.1,2025-11-24,2025-12-24,2026-01-16,Installed
Phoenix-ETD,Facilities,T-PH-01,SpareParts,VendorC,2025-11,67352.0,66818.79,67112.05,2025-11-05,2026-02-03,2026-02-25,Installed
Phoenix-ETD,Facilities,T-PH-01,IT/Network,VendorC,2025-12,52660.0,50684.72,51771.12,2025-12-10,2026-02-25,2026-02-11,Installed
Phoenix-ETD,Facilities,T-PH-01,TestEquipment,VendorC,2025-12,39831.0,39098.63,39501.43,2025-12-10,2026-01-01,2026-01-22,Installed
Phoenix-ETD,Facilities,T-PH-01,Fixtures,VendorC,2025-12,83184.0,82465.8,82860.81,2025-12-23,2026-04-17,2026-04-08,Delayed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-01,47308.0,38888.74,43519.33,2024-01-04,2024-05-12,2024-06-07,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-01,136081.0,183080.14,157230.61,2024-01-03,2024-02-04,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-01,43859.0,38492.99,41444.3,2024-01-24,2024-04-06,2024-05-03,Delayed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-02,65261.0,94062.01,78221.46,2024-02-22,2024-06-13,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-02,85050.0,91708.13,88046.16,2024-02-12,2024-03-16,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-02,101005.0,129675.15,113906.57,2024-02-07,2024-04-21,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-03,282551.0,300617.28,290680.83,2024-03-25,2024-05-14,,Planned
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-03,275733.0,267207.47,271896.51,2024-03-19,2024-05-05,,Planned
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-03,133221.0,135708.91,134340.56,2024-03-01,2024-06-30,,Planned
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2024-04,45708.0,37466.74,41999.43,2024-04-16,2024-07-03,,Planned
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-04,57789.0,55970.21,56970.55,2024-04-17,2024-06-07,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-04,162811.0,154613.1,159121.94,2024-04-18,2024-07-22,2024-08-25,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-05,124725.0,171707.87,145867.29,2024-05-10,2024-06-20,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-05,108441.0,117771.22,112639.6,2024-05-03,2024-09-15,,Planned
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-05,283061.0,333306.96,305671.68,2024-05-21,2024-07-04,2024-07-11,Delayed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-06,154241.0,135892.45,145984.15,2024-06-20,2024-08-16,2024-09-19,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-06,29255.0,23041.1,26458.74,2024-06-22,2024-10-25,2024-11-18,Installed
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2024-06,250404.0,198151.3,226890.29,2024-06-08,2024-10-07,2024-11-09,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-07,223348.0,246726.23,233868.21,2024-07-03,2024-10-21,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-07,124288.0,95807.7,111471.87,2024-07-23,2024-12-06,2024-12-07,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-07,95252.0,113760.86,103580.99,2024-07-13,2024-08-22,2024-09-24,Installed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-08,39320.0,37074.07,38309.33,2024-08-08,2024-10-22,2024-11-11,Delayed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-08,73320.0,84565.37,78380.42,2024-08-11,2024-08-31,2024-09-19,Installed
