program,tool_id,item,vendor,lead_time_days_planned,lead_time_days_actual,expedite_spend_usd,expedite_reason,need_by_date,promise_date,received_date
Atlas-Sustaining,T-AT-06,Valve Manifold,VendorA,114,81,0.0,,2025-08-23,2025-07-23,2025-07-28
Helios-NewBay,T-HE-04,Gas Box,VendorC,122,123,0.0,,2026-04-15,2026-04-05,2026-03-30
Atlas-Sustaining,T-AT-03,Harness,VendorF,149,160,0.0,,2026-05-24,2026-05-26,2026-05-20
Phoenix-ETD,T-PH-05,RF Gen,VendorF,153,148,0.0,,2025-07-28,2025-08-09,
Atlas-Sustaining,T-AT-03,Gas Box,VendorB,148,137,9237.46,Capacity constraint,2025-09-03,2025-08-23,
Orion-Ramp,T-OR-07,Chiller,VendorC,171,135,0.0,,2025-10-04,2025-10-08,
Atlas-Sustaining,T-AT-07,RF Gen,VendorC,67,58,0.0,,2026-03-23,2026-02-15,2026-02-07
Helios-NewBay,T-HE-08,Gas Box,VendorD,107,152,0.0,,2025-07-09,2025-07-12,2025-08-08
Orion-Ramp,T-OR-05,Control Cabinet,VendorB,123,142,0.0,,2026-01-16,2026-02-03,
Atlas-Sustaining,T-AT-09,Harness,VendorE,158,124,1690.6,Rework,2026-02-14,2026-02-05,
Orion-Ramp,T-OR-04,MFC,VendorE,150,190,0.0,,2025-07-27,2025-07-16,2025-07-25
Nova-Upgrade,T-NO-04,Pressure Transducer,VendorB,99,83,14928.44,Supplier expedite,2026-03-14,2026-02-19,
Phoenix-ETD,T-PH-10,Chiller,VendorF,121,168,0.0,,2025-12-25,2025-11-29,
Orion-Ramp,T-OR-02,Pressure Transducer,VendorF,145,198,0.0,,2025-11-30,2025-12-08,
Phoenix-ETD,T-PH-03,Valve Manifold,VendorC,134,72,0.0,,2026-02-04,2026-01-05,2026-01-22
Nova-Upgrade,T-NO-04,Control Cabinet,VendorD,29,75,0.0,,2025-11-28,2025-11-17,2025-11-15
Nova-Upgrade,T-NO-07,Sensors Kit,VendorB,116,122,8819.81,Missing parts,2026-02-19,2026-01-28,2026-02-23
Phoenix-ETD,T-PH-07,Harness,VendorC,141,146,5601.96,Late ECO,2026-06-27,2026-07-14,2026-07-04
Helios-NewBay,T-HE-04,Sensors Kit,VendorE,114,139,0.0,,2025-11-10,2025-11-26,2025-11-29
Nova-Upgrade,T-NO-09,Control Cabinet,VendorF,123,170,7948.97,Priority build,2025-10-22,2025-11-03,2025-11-08
Nova-Upgrade,T-NO-06,Chiller,VendorC,81,106,0.0,,2025-10-05,2025-10-17,2025-11-14
Atlas-Sustaining,T-AT-05,Chiller,VendorA,124,121,0.0,,2026-06-16,2026-05-28,
Atlas-Sustaining,T-AT-01,MFC,VendorD,174,143,0.0,,2025-09-07,2025-08-11,
Atlas-Sustaining,T-AT-09,MFC,VendorE,144,176,0.0,,2025-12-12,2025-11-30,2025-12-27
Phoenix-ETD,T-PH-01,MFC,VendorF,81,72,0.0,,2026-01-28,2026-01-22,2026-01-18
Nova-Upgrade,T-NO-04,RF Gen,VendorD,123,122,0.0,,2026-04-14,2026-04-08,2026-04-01
Atlas-Sustaining,T-AT-03,Gas Box,VendorB,94,82,0.0,,2025-07-14,2025-06-12,
Nova-Upgrade,T-NO-04,Harness,VendorE,118,77,4172.44,Capacity constraint,2025-07-19,2025-08-05,2025-08-08
Nova-Upgrade,T-NO-05,Tool Frame,VendorC,72,101,243.53,Rework,2025-10-07,2025-09-03,2025-09-12
Orion-Ramp,T-OR-03,Gas Box,VendorA,27,74,0.0,,2026-03-27,2026-03-25,
Orion-Ramp,T-OR-07,Gas Box,VendorA,23,60,6582.48,Supplier expedite,2026-05-24,2026-05-08,2026-05-14
Orion-Ramp,T-OR-10,RF Gen,VendorF,95,98,0.0,,2026-04-29,2026-04-22,2026-05-11
Orion-Ramp,T-OR-08,Sensors Kit,VendorC,102,142,0.0,,2026-03-28,2026-04-17,
Orion-Ramp,T-OR-06,Chiller,VendorC,65,71,0.0,,2026-06-23,2026-05-28,
Phoenix-ETD,T-PH-06,Pressure Transducer,VendorE,177,162,0.0,,2026-05-09,2026-05-02,
Helios-NewBay,T-HE-02,Vac Pump,VendorA,23,8,1105.31,Supplier expedite,2026-06-16,2026-06-06,2026-05-31
Nova-Upgrade,T-NO-08,Gas Box,VendorC,81,139,0.0,,2026-06-05,2026-06-02,2026-05-31
Atlas-Sustaining,T-AT-10,Tool Frame,VendorC,164,173,0.0,,2026-06-14,2026-06-22,2026-06-30
Atlas-Sustaining,T-AT-06,Valve Manifold,VendorD,45,74,1815.7,Priority build,2026-03-18,2026-03-25,2026-04-07
Phoenix-ETD,T-PH-03,Sensors Kit,VendorF,67,54,0.0,,2026-03-05,2026-02-03,
Nova-Upgrade,T-NO-07,Pressure Transducer,VendorD,71,97,0.0,,2025-08-24,2025-07-25,2025-08-04
Helios-NewBay,T-HE-09,Harness,VendorC,94,119,0.0,,2026-01-10,2025-12-19,2026-01-14
Orion-Ramp,T-OR-06,Gas Box,VendorD,119,112,5065.61,Supplier expedite,2026-03-04,2026-02-11,
Helios-NewBay,T-HE-10,Gas Box,VendorB,135,135,0.0,,2025-10-04,2025-09-22,
Nova-Upgrade,T-NO-04,Pressure Transducer,VendorA,76,68,0.0,,2025-12-09,2025-11-17,2025-11-16
Orion-Ramp,T-OR-04,Control Cabinet,VendorC,130,134,0.0,,2026-05-29,2026-05-02,2026-04-25
Phoenix-ETD,T-PH-06,Valve Manifold,VendorD,172,178,0.0,,2026-04-19,2026-03-21,
